"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mfn-1",135.727563594551,-0.663655406643354,0.270849326427188,-2.45027527074823,0.0142747038658108,0.0945243070283581
"metl-1",389.003687271838,-0.0836834389385288,0.329809585310268,-0.253732585909544,0.799702157768535,0.931300848290495
"W02B12.11",247.715061018379,0.356147701043019,0.366846834136393,0.97083487685382,0.33163051183812,0.625107289722641
"W02B12.12",31.304525094044,3.74888710224054,1.00382284938285,3.73461024975209,0.000188006118029909,0.00654901143498724
"W02D9.2",383.112651097468,0.0474414415272943,0.397267042596436,0.119419525005722,0.904942993265894,0.970908669869913
"hmg-20",42.5508026951829,0.442394533713442,0.51138575936449,0.865089661986705,0.386989578422349,0.677052777755773
"W02D9.4",83.1271728015954,-0.166034590345168,0.640842198517894,-0.259088104262116,0.795567262932929,0.92985769362341
"ssp-37",76.0671656900617,1.71049554164004,0.691141120070501,2.47488608616655,0.0133278678408841,0.0901997455794694
"W02D9.6",113.433716323387,1.15523109690885,0.787125543193745,1.46765799547239,0.142197145948873,0.389263806666379
"W02D9.7",1072.03487984483,1.54744331897229,0.814385144063028,1.90013696867305,0.0574151473485578,0.223474309433436
"W02D9.8",0.588887525399342,-0.854760157855782,2.39554300791269,-0.356812695506795,0.721232031421863,NA
"W02D9.9",2.65771956415841,0.844629926045025,1.54363962006924,0.547167820172392,0.584263442058685,0.818616466766221
"W02D9.10",93.3689472665128,0.100026174404142,0.485848642380001,0.205879291777269,0.836885201700249,0.948769632779674
"W02H3.1",25.3876735786219,-0.413030103183034,0.642041050856455,-0.643307935889878,0.520024307899858,0.777434230392891
"W02H3.2",0,NA,NA,NA,NA,NA
"W03C9.1",6.09618963029424,0.741166921269114,0.726683681970027,1.01993059656964,0.307761377452376,0.601413246851838
"W03C9.2",137.150887047831,0.295463643553967,0.591543728210631,0.499478955592546,0.617442008569286,0.838294948498019
"W03C9.5",0,NA,NA,NA,NA,NA
"W03C9.6",59.9793363724697,-0.512810496200123,0.518146662658858,-0.989701436208518,0.322320072808343,0.616423198066336
"W03C9.8",31.5054101020184,2.85898187012982,0.956412355169564,2.98927743318722,0.00279638093708951,0.0340932296455009
"W03G11.2",31.804602877681,1.1687322818322,0.656454226370474,1.7803713265647,0.0750152111232874,0.265151825972123
"W03G11.3",37.1679293910923,1.00909808315757,0.575375407409005,1.75380815753263,0.0794633848074308,0.274609782719888
"W03G11.4",409.785384594773,-1.68413853224109,0.648416973453425,-2.59730790708868,0.00939576573310508,0.0726804509215842
"W03H9.1",7.11604004707683,-0.441592441473086,0.729224753620158,-0.605564250638569,0.544804147442908,0.793029371323927
"W03H9.2",17.5952678763355,-0.383887738730309,0.572154751200121,-0.670950888592792,0.502251816315871,0.765426228523296
"cacn-1",223.605874156266,-0.492943314089909,0.275858903461529,-1.78694001862678,0.0739471835847667,0.262809103597456
