"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"21ur-11521",0,NA,NA,NA,NA,NA
"21ur-8650",0.0360601865167887,0,6.05106716782673,0,1,NA
"21ur-13233",0,NA,NA,NA,NA,NA
"21ur-11583",0,NA,NA,NA,NA,NA
"21ur-8835",0,NA,NA,NA,NA,NA
"21ur-8138",0.0331263921749299,0,6.05106716782673,0,1,NA
"21ur-10671",0,NA,NA,NA,NA,NA
"21ur-9091",0,NA,NA,NA,NA,NA
"21ur-5472",0,NA,NA,NA,NA,NA
"21ur-11739",0,NA,NA,NA,NA,NA
"21ur-12330",0,NA,NA,NA,NA,NA
"21ur-12019",0,NA,NA,NA,NA,NA
"21ur-14196",0,NA,NA,NA,NA,NA
"21ur-13317",0,NA,NA,NA,NA,NA
"21ur-11678",0.0396432034344052,0,6.05106716782673,0,1,NA
"21ur-9085",0,NA,NA,NA,NA,NA
"21ur-6910",0,NA,NA,NA,NA,NA
"21ur-12209",0,NA,NA,NA,NA,NA
"21ur-10191",0,NA,NA,NA,NA,NA
"21ur-6840",0.0360601865167887,0,6.05106716782673,0,1,NA
"21ur-6861",0,NA,NA,NA,NA,NA
"21ur-13840",0,NA,NA,NA,NA,NA
"21ur-6917",0,NA,NA,NA,NA,NA
"21ur-8621",0,NA,NA,NA,NA,NA
"21ur-15413",0,NA,NA,NA,NA,NA
"21ur-13322",0,NA,NA,NA,NA,NA
"21ur-9190",0,NA,NA,NA,NA,NA
"21ur-7979",0,NA,NA,NA,NA,NA
"21ur-11402",0,NA,NA,NA,NA,NA
"21ur-8249",0,NA,NA,NA,NA,NA
"21ur-9108",0,NA,NA,NA,NA,NA
"21ur-13866",0,NA,NA,NA,NA,NA
"21ur-6234",0,NA,NA,NA,NA,NA
"21ur-14186",0,NA,NA,NA,NA,NA
"21ur-10229",0,NA,NA,NA,NA,NA
"21ur-10088",0,NA,NA,NA,NA,NA
"21ur-8627",0,NA,NA,NA,NA,NA
"21ur-13211",0,NA,NA,NA,NA,NA
"21ur-5498",0,NA,NA,NA,NA,NA
"21ur-14779",0,NA,NA,NA,NA,NA
"21ur-12761",0,NA,NA,NA,NA,NA
"21ur-9297",0,NA,NA,NA,NA,NA
"21ur-10261",0,NA,NA,NA,NA,NA
"21ur-8659",0,NA,NA,NA,NA,NA
"21ur-12771",0,NA,NA,NA,NA,NA
"21ur-15000",0,NA,NA,NA,NA,NA
"21ur-13088",0.0365458748688025,0,6.05106716782673,0,1,NA
"21ur-15520",0,NA,NA,NA,NA,NA
"21ur-12874",0,NA,NA,NA,NA,NA
"21ur-6908",0,NA,NA,NA,NA,NA
"21ur-8286",0,NA,NA,NA,NA,NA
"21ur-14272",0,NA,NA,NA,NA,NA
"21ur-14020",0,NA,NA,NA,NA,NA
"21ur-5812",0.041374573065657,0,6.05106716782673,0,1,NA
"21ur-8997",0,NA,NA,NA,NA,NA
"21ur-13671",0,NA,NA,NA,NA,NA
"21ur-8482",0,NA,NA,NA,NA,NA
"21ur-9865",0,NA,NA,NA,NA,NA
"21ur-8463",0.041374573065657,0,6.05106716782673,0,1,NA
"21ur-12575",0,NA,NA,NA,NA,NA
"21ur-9951",0,NA,NA,NA,NA,NA
"21ur-15434",0,NA,NA,NA,NA,NA
"21ur-9595",0,NA,NA,NA,NA,NA
"21ur-5816",0,NA,NA,NA,NA,NA
"21ur-6034",0.0383943545365784,0,6.05106716782673,0,1,NA
"21ur-5827",0,NA,NA,NA,NA,NA
"21ur-14114",0,NA,NA,NA,NA,NA
"21ur-10098",0,NA,NA,NA,NA,NA
"21ur-6558",0,NA,NA,NA,NA,NA
"21ur-9573",0,NA,NA,NA,NA,NA
"21ur-14202",0,NA,NA,NA,NA,NA
"21ur-14887",0.0359671566784848,0,6.05106716782673,0,1,NA
"21ur-11952",0,NA,NA,NA,NA,NA
"21ur-13227",0,NA,NA,NA,NA,NA
"21ur-15579",0,NA,NA,NA,NA,NA
"21ur-7216",0,NA,NA,NA,NA,NA
"21ur-10793",0,NA,NA,NA,NA,NA
"21ur-12318",0,NA,NA,NA,NA,NA
"21ur-6426",0.0365225912889657,0,6.05106716782673,0,1,NA
"21ur-13326",0,NA,NA,NA,NA,NA
"21ur-14176",0,NA,NA,NA,NA,NA
"21ur-12419",0,NA,NA,NA,NA,NA
"21ur-11588",0,NA,NA,NA,NA,NA
"21ur-5769",0,NA,NA,NA,NA,NA
"21ur-10722",0,NA,NA,NA,NA,NA
"21ur-13397",0.0757033899511939,0,6.05106716782673,0,1,NA
"21ur-9203",0.0347948928448057,0,6.05106716782673,0,1,NA
"21ur-7753",0,NA,NA,NA,NA,NA
"21ur-14918",0,NA,NA,NA,NA,NA
"21ur-13053",0,NA,NA,NA,NA,NA
"21ur-9191",0,NA,NA,NA,NA,NA
"21ur-6762",0,NA,NA,NA,NA,NA
"21ur-11766",0,NA,NA,NA,NA,NA
"21ur-11490",0,NA,NA,NA,NA,NA
"21ur-14603",0,NA,NA,NA,NA,NA
"21ur-15597",0,NA,NA,NA,NA,NA
"21ur-14312",0,NA,NA,NA,NA,NA
"21ur-9187",0,NA,NA,NA,NA,NA
"21ur-11473",0,NA,NA,NA,NA,NA
"21ur-7168",0,NA,NA,NA,NA,NA
"21ur-8809",0,NA,NA,NA,NA,NA
"21ur-13918",0,NA,NA,NA,NA,NA
"21ur-7476",0,NA,NA,NA,NA,NA
"21ur-6845",0,NA,NA,NA,NA,NA
"21ur-15484",0,NA,NA,NA,NA,NA
"21ur-13443",0,NA,NA,NA,NA,NA
"21ur-8087",0,NA,NA,NA,NA,NA
"21ur-8060",0,NA,NA,NA,NA,NA
"21ur-13875",0,NA,NA,NA,NA,NA
"21ur-11153",0.0518779798249187,0.618933046794697,6.05106716782673,0.102284940759795,0.918530508144618,NA
"21ur-7487",0,NA,NA,NA,NA,NA
"21ur-14959",0,NA,NA,NA,NA,NA
"21ur-12186",0,NA,NA,NA,NA,NA
"21ur-12664",0,NA,NA,NA,NA,NA
"21ur-15236",0,NA,NA,NA,NA,NA
"21ur-12138",0.0365225912889657,0,6.05106716782673,0,1,NA
"21ur-14264",0,NA,NA,NA,NA,NA
"21ur-15146",0.150503954789133,-0.209676579696662,6.04714828079855,-0.0346736296119025,0.972339988800255,NA
"21ur-14303",0,NA,NA,NA,NA,NA
"21ur-10347",0,NA,NA,NA,NA,NA
"21ur-9531",0,NA,NA,NA,NA,NA
"21ur-5481",0.0695897856896115,0,6.05104869045493,0,1,NA
"21ur-9276",0,NA,NA,NA,NA,NA
"21ur-14700",0,NA,NA,NA,NA,NA
"21ur-11941",0.0699392002304375,0,6.05106716782673,0,1,NA
"21ur-9422",0,NA,NA,NA,NA,NA
"21ur-8120",0,NA,NA,NA,NA,NA
"21ur-8227",0,NA,NA,NA,NA,NA
"21ur-9254",0,NA,NA,NA,NA,NA
"21ur-8748",0,NA,NA,NA,NA,NA
"21ur-9505",0,NA,NA,NA,NA,NA
"21ur-13164",0,NA,NA,NA,NA,NA
"21ur-13668",0,NA,NA,NA,NA,NA
"21ur-12043",0,NA,NA,NA,NA,NA
"21ur-8405",0,NA,NA,NA,NA,NA
"21ur-10877",0,NA,NA,NA,NA,NA
"21ur-12441",0,NA,NA,NA,NA,NA
"21ur-8719",0,NA,NA,NA,NA,NA
"21ur-12134",0,NA,NA,NA,NA,NA
"21ur-6207",0,NA,NA,NA,NA,NA
"21ur-15237",0,NA,NA,NA,NA,NA
"21ur-9735",0,NA,NA,NA,NA,NA
"21ur-8924",0,NA,NA,NA,NA,NA
"21ur-13767",0,NA,NA,NA,NA,NA
"21ur-10770",0,NA,NA,NA,NA,NA
"21ur-9013",0.070391750138523,0,6.05106716782673,0,1,NA
"21ur-10455",0,NA,NA,NA,NA,NA
"21ur-13405",0,NA,NA,NA,NA,NA
"21ur-5844",0.0396432034344052,0,6.05106716782673,0,1,NA
"21ur-14718",0,NA,NA,NA,NA,NA
"21ur-11862",0,NA,NA,NA,NA,NA
"21ur-5953",0.0859414518234193,0,6.05106716782673,0,1,NA
