"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"21ur-15617",0.0347948928448057,0,6.3118510749072,0,1,NA
"21ur-10583",0,NA,NA,NA,NA,NA
"21ur-13424",0,NA,NA,NA,NA,NA
"21ur-10702",0,NA,NA,NA,NA,NA
"21ur-7221",0,NA,NA,NA,NA,NA
"21ur-13411",0,NA,NA,NA,NA,NA
"21ur-14175",0,NA,NA,NA,NA,NA
"21ur-11604",0.137972476244121,0,6.31136620648552,0,1,NA
"21ur-11702",0,NA,NA,NA,NA,NA
"21ur-12465",0.259191587953544,-2.63369597633372,6.2491946606287,-0.42144566129882,0.673429682397731,NA
"21ur-11751",0.178461559843869,0,6.31127383971472,0,1,NA
"21ur-7379",0,NA,NA,NA,NA,NA
"21ur-6117",0,NA,NA,NA,NA,NA
"21ur-8976",0,NA,NA,NA,NA,NA
"21ur-10015",0,NA,NA,NA,NA,NA
"21ur-10575",0,NA,NA,NA,NA,NA
"21ur-13190",0,NA,NA,NA,NA,NA
"21ur-10570",0,NA,NA,NA,NA,NA
"21ur-12872",0.0343315636217343,0,6.3118510749072,0,1,NA
"21ur-15442",0.0331263921749299,0,6.3118510749072,0,1,NA
"21ur-14437",0,NA,NA,NA,NA,NA
"21ur-5804",0,NA,NA,NA,NA,NA
"21ur-8478",0,NA,NA,NA,NA,NA
"21ur-7087",0,NA,NA,NA,NA,NA
"21ur-7569",0.0360601865167887,0,6.3118510749072,0,1,NA
"21ur-8059",0,NA,NA,NA,NA,NA
"21ur-14681",0,NA,NA,NA,NA,NA
"21ur-7244",0.174313099449869,0,6.31123064103232,0,1,NA
"21ur-9002",0,NA,NA,NA,NA,NA
"21ur-12074",0,NA,NA,NA,NA,NA
"21ur-11416",0,NA,NA,NA,NA,NA
"21ur-13352",0,NA,NA,NA,NA,NA
"21ur-6273",0,NA,NA,NA,NA,NA
"21ur-8105",0.0365458748688025,0,6.3118510749072,0,1,NA
"21ur-6492",0,NA,NA,NA,NA,NA
"21ur-15606",0.419402000549135,-2.00315459226522,6.28341289754154,-0.318800407506082,0.749877869244474,NA
"21ur-11589",0,NA,NA,NA,NA,NA
"21ur-12349",0,NA,NA,NA,NA,NA
"21ur-14553",0,NA,NA,NA,NA,NA
"21ur-12952",0,NA,NA,NA,NA,NA
"21ur-10292",0,NA,NA,NA,NA,NA
"21ur-7113",0,NA,NA,NA,NA,NA
"21ur-12314",0,NA,NA,NA,NA,NA
"21ur-6565",0,NA,NA,NA,NA,NA
"21ur-11174",0,NA,NA,NA,NA,NA
"21ur-7865",0,NA,NA,NA,NA,NA
"21ur-13971",0,NA,NA,NA,NA,NA
"21ur-5910",1.12190794680815,-2.024405184137,2.72741770052707,-0.742242445572524,0.457940455884884,NA
"21ur-5840",0,NA,NA,NA,NA,NA
"21ur-6953",0,NA,NA,NA,NA,NA
"21ur-12753",0,NA,NA,NA,NA,NA
"21ur-5616",0.171657818108672,0,6.31113445627956,0,1,NA
"21ur-5870",0,NA,NA,NA,NA,NA
"21ur-7455",0,NA,NA,NA,NA,NA
"21ur-8404",0,NA,NA,NA,NA,NA
"21ur-12662",0,NA,NA,NA,NA,NA
"21ur-13301",0,NA,NA,NA,NA,NA
"21ur-6466",0,NA,NA,NA,NA,NA
"21ur-5862",0,NA,NA,NA,NA,NA
"21ur-10637",0,NA,NA,NA,NA,NA
"21ur-7407",0,NA,NA,NA,NA,NA
"21ur-9749",0.0347948928448057,0,6.3118510749072,0,1,NA
"21ur-7349",0,NA,NA,NA,NA,NA
"21ur-6308",0,NA,NA,NA,NA,NA
"21ur-12671",0,NA,NA,NA,NA,NA
"21ur-10044",0,NA,NA,NA,NA,NA
"21ur-9564",0,NA,NA,NA,NA,NA
"21ur-10661",0,NA,NA,NA,NA,NA
"21ur-12505",0,NA,NA,NA,NA,NA
"21ur-9647",0.0365458748688025,0,6.3118510749072,0,1,NA
"21ur-14649",0,NA,NA,NA,NA,NA
"21ur-11541",0,NA,NA,NA,NA,NA
"21ur-11561",0,NA,NA,NA,NA,NA
"21ur-7458",0,NA,NA,NA,NA,NA
"21ur-14564",0,NA,NA,NA,NA,NA
"21ur-12128",0,NA,NA,NA,NA,NA
